Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,hourly,employer_provided,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
Data Scientist,3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,72,"Tecolote Research
", NM,0,47,1,0,0,0,1
Healthcare Data Scientist,3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+ employees,1984,Other Organization,Health Care Services & Hospitals,Health Care,0,0,87.5,"University of Maryland Medical System
", MD,0,36,1,0,0,0,0
Data Scientist,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,0,0,85,"KnowBe4
", FL,1,10,1,0,1,0,1
Data Scientist,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,76.5,"PNNL
", WA,1,55,1,0,0,0,0
Data Scientist,2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,0,0,114.5,"Affinity Solutions
", NY,1,22,1,0,0,0,1
Data Scientist,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,0,0,95,"CyrusOne
", TX,1,20,1,0,0,1,1
Data Scientist,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,0,0,73.5,"ClearOne Advantage
", MD,1,12,0,0,0,0,1
Data Scientist,3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,0,0,114,"Logic20/20
", CA,0,15,1,0,1,1,1
Research Scientist,3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,0,0,61,"Rochester Regional Health
", NY,1,6,0,0,0,0,0
Data Scientist,4.6,"<intent>
4.6","New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,0,0,140,"<intent>
", NY,1,11,1,0,1,0,0
Data Scientist,3.5,"Wish
3.5","San Jose, CA","San Francisco, CA",501 to 1000 employees,2011,Company - Private,Other Retail Stores,Retail,0,0,163.5,"Wish
", CA,0,9,1,0,0,0,0
Data Scientist,4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,0,0,85,"ManTech
", VA,0,52,0,0,0,0,0
Staff Data Scientist - Technology,3.2,"Walmart
3.2","Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,0,0,139,"Walmart
", TX,0,58,0,0,0,0,0
Data Analyst,4.1,"Yesler
4.1","Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Advertising & Marketing,Business Services,0,0,65.5,"Yesler
", WA,1,8,1,0,1,1,1
Data Scientist,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,113.5,"Takeda Pharmaceuticals
", MA,0,239,1,0,1,0,0
Data Engineer I,3.6,"Audible
3.6","Newark, NJ","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,0,0,146,"Audible
", NJ,1,25,0,0,0,0,1
"Scientist I/II, Biology",3.9,"Blueprint Medicines
3.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,102,"Blueprint Medicines
", MA,1,9,0,0,0,0,1
Customer Data Scientist,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,153.5,"h2o.ai
", CA,1,9,1,0,1,1,1
Data Scientist - Health Data Analytics,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,142.5,"Nuna
", CA,1,10,0,0,0,0,0
Data Scientist,4,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,0,0,87.5,"Pinnacol Assurance
", CO,1,105,1,0,0,0,1
Data Scientist,3.2,"Porch
3.2","Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Internet,Information Technology,0,0,105.5,"Porch
", WA,1,8,1,0,1,0,0
Senior Data Scientist / Machine Learning,3.9,"Health IQ
3.9","Dallas, TX","Mountain View, CA",201 to 500 employees,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,0,0,96,"Health IQ
", TX,0,7,0,0,0,0,1
Data Scientist - Quantitative,3.8,"Truckstop.com
3.8","Chicago, IL","New Plymouth, ID",501 to 1000 employees,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,0,0,112.5,"Truckstop.com
", IL,0,25,1,0,0,1,1
Data Scientist,4.3,"SMC 3
4.3","Louisville, KY","Peachtree City, GA",51 to 200 employees,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,0,0,84,"SMC 3
", KY,0,85,1,0,0,0,1
Data Scientist,4,"Novetta
4.0","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,143,"Novetta
", VA,0,8,1,0,0,1,0
Digital Health Data Scientist,4,"Pfizer
4.0","Cambridge, MA","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,86.5,"Pfizer
", MA,0,171,1,0,0,1,1
Data Scientist,3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR","San Jose, CA",1001 to 5000 employees,1952,Company - Private,Banks & Credit Unions,Finance,0,0,99.5,"First Tech Federal Credit Union
", OR,0,68,1,0,1,1,1
Associate Data Analyst,3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,0,0,47.5,"The Hanover Insurance Group
", MA,1,168,0,0,0,0,1
Clinical Data Scientist,4,"Pfizer
4.0","Groton, CT","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,84,"Pfizer
", CT,0,171,0,0,0,1,1
Data Scientist,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,0,0,85,"KnowBe4
", FL,1,10,1,0,1,0,1
Data Scientist,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,76.5,"PNNL
", WA,1,55,1,0,0,0,0
Data Scientist,3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,0,0,96,"Amrock
", MI,1,23,1,0,0,0,0
Data Scientist / Machine Learning Expert,3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,114.5,"Novartis
", MA,0,24,1,0,0,0,0
Data Scientist,3.8,"Juniper Networks
3.8","Sunnyvale, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,0,0,121,"Juniper Networks
", CA,1,24,1,0,1,0,1
Data Scientist,4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,112.5,"New England Biolabs
", MA,1,46,1,0,0,0,1
Web Data Analyst,4.2,"Clarity Insights
4.2","San Jose, CA","Chicago, IL",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,0,0,106,"Clarity Insights
", CA,0,12,1,0,0,0,1
Data Scientist,3.5,"Esri
3.5","Redlands, CA","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,0,0,107,"Esri
", CA,1,51,1,0,1,1,0
Data Scientist,4.7,"Systems & Technology Research
4.7","Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,110,"Systems & Technology Research
", MA,1,10,1,0,1,0,1
Senior Data Scientist,3.5,"Sartorius
3.5","Fremont, CA","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,147.5,"Sartorius
", CA,0,150,1,0,0,0,1
Data Engineer,3.5,"Lancer Insurance
3.5","Long Beach, NY","Long Beach, NY",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,0,0,106,"Lancer Insurance
", NY,1,35,1,0,0,0,1
Data Analyst,4.2,"Sauce Labs
4.2","San Francisco, CA","San Francisco, CA",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,0,0,88,"Sauce Labs
", CA,1,12,1,0,0,1,1
Data Engineer,3.6,"Persivia
3.6","Marlborough, MA","Lowell, MA",1 to 50 employees,-1,Company - Private,-1,-1,0,0,98.5,"Persivia
", MA,0,-1,0,0,0,0,1
Data Scientist - Algorithms & Inference,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,142.5,"Nuna
", CA,1,10,0,0,0,0,0
Scientist,3.4,"Edgewell Personal Care
3.4","Allendale, NJ","Shelton, CT",5001 to 10000 employees,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,0,0,82.5,"Edgewell Personal Care
", NJ,0,5,0,0,0,1,0
Senior Data Scientist,4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL",1001 to 5000 employees,1993,Company - Public,Real Estate,Real Estate,0,0,130,"Equity Residential
", IL,1,27,1,0,1,0,1
Data Scientist,5,"BPA Services
5.0","Washington, DC","Alexandria, VA",Unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,1,155,"BPA Services
", DC,0,-1,0,0,0,1,1
Lead Data Scientist,3.7,"Visa Inc.
3.7","Bellevue, WA","Foster City, CA",10000+ employees,1958,Company - Public,IT Services,Information Technology,0,0,184.5,"Visa Inc.
", WA,0,62,1,0,0,0,1
Associate Data Analyst,3.1,"Intrado
3.1","Longmont, CO","Omaha, NE",5001 to 10000 employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,29.5,"Intrado
", CO,0,34,0,0,0,0,1
Spectral Scientist/Engineer,4.7,"Centauri
4.7","Beavercreek, OH","Chantilly, VA",501 to 1000 employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,86.5,"Centauri
", OH,0,21,0,0,0,0,0
College Hire - Data Scientist - Open to December 2019 Graduates,3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL",10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,0,0,81,"Caterpillar
", IL,0,95,0,0,0,0,0
Data Scientist,3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL","Fort Lauderdale, FL",501 to 1000 employees,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,0,0,91,"Zimmerman Advertising
", FL,1,36,1,0,0,0,1
"Data Scientist, Office of Data Science",3.3,"Liberty Mutual Insurance
3.3","Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,0,0,114.5,"Liberty Mutual Insurance
", MA,1,108,1,0,0,0,0
Data Science Analyst,4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,68,"Torch Technologies, Inc.
", AL,1,18,1,0,0,0,1
Data Scientist,3.7,"Swiss Re
3.7","Armonk, NY","Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,0,0,115,"Swiss Re
", NY,0,157,1,0,0,0,1
Data Scientist,3.7,"Northrop Grumman
3.7","San Diego, CA","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,0,0,109.5,"Northrop Grumman
", CA,0,81,0,0,0,0,1
Data Scientist,3.5,"Sartorius
3.5","Albuquerque, NM","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,75.5,"Sartorius
", NM,0,150,1,0,0,0,1
Data Scientist,4.1,"Netskope
4.1","San Francisco, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,154.5,"Netskope
", CA,0,8,1,0,1,0,1
Data Scientist,4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,0,0,143.5,"1904labs
", MO,1,4,1,0,1,0,0
Data Scientist,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,0,0,73.5,"ClearOne Advantage
", MD,1,12,0,0,0,0,1
Data Scientist,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,0,0,95,"CyrusOne
", TX,1,20,1,0,0,1,1
Senior Data Scientist,4.4,"The David J. Joseph Company
4.4","Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,0,0,107,"The David J. Joseph Company
", OH,1,135,1,0,0,1,0
Data Scientist,4.3,"USEReady
4.3","New York, NY","New York, NY",201 to 500 employees,2011,Company - Private,Consulting,Business Services,0,0,115,"USEReady
", NY,1,9,1,0,1,1,0
Senior Risk Data Scientist,3.8,"Bill.com
3.8","Palo Alto, CA","Palo Alto, CA",501 to 1000 employees,2006,Company - Public,Financial Transaction Processing,Finance,0,0,139.5,"Bill.com
", CA,1,14,0,0,0,0,0
Data Scientist in Artificial Intelligence Early Career,3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,67,"Pacific Northwest National Laboratory
", WA,1,55,0,0,0,0,0
Data Scientist,3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA","Coraopolis, PA",10000+ employees,1948,Company - Public,Sporting Goods Stores,Retail,0,0,85,"DICK'S Sporting Goods - Corporate
", PA,1,72,1,0,0,0,0
Data Scientist,2.8,"Berg Health
2.8","Framingham, MA","Framingham, MA",51 to 200 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,118,"Berg Health
", MA,1,14,1,0,0,0,1
Data Scientist,4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,0,0,79.5,"Oversight Systems
", GA,1,17,1,0,0,0,1
Data Scientist - Research,3.1,"C Space
3.1","Boston, MA","Boston, MA",201 to 500 employees,1999,Company - Public,Advertising & Marketing,Business Services,0,0,56.5,"C Space
", MA,1,21,1,0,0,0,0
Data Scientist,3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,0,0,128.5,"Numeric, LLC
", PA,0,-1,1,0,1,1,0
R&D Data Analysis Scientist,4,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,0,0,97.5,"HP Inc.
", WA,0,81,0,0,0,0,0
